# index, label, _pos
1393,"TANAKA, R","array([85.63262902, 20.36959069])"
1394,"TASS, P","array([-7.72193678,  8.51308796])"
1395,"WEULE, M","array([-6.96354652,  9.82683102])"
1396,"VOLKMANN, J","array([-8.61262355,  9.93730139])"
1397,"FREUND, H","array([-7.665797  , 11.06865461])"
1398,"TERMAN, D","array([-33.36228802, -14.02585967])"
1399,"TICOS, C","array([-52.93069777, -13.11420072])"
1400,"ROSAJR, E","array([-51.78700924, -14.53605013])"
1401,"PARDO, W","array([-50.12957363, -13.96093795])"
1402,"WALKENSTEIN, J","array([-50.18338978, -12.14891304])"
1403,"MONTI, M","array([-51.88997355, -11.62766481])"
1404,"TIERI, P","array([48.12819411, 53.26518477])"
1405,"VALENSIN, S","array([49.03593808, 54.70300712])"
1406,"CASTELLANI, G","array([47.5376516 , 54.87155223])"
1407,"REMONDINI, D","array([50.53387318, 55.44713039])"
1408,"FRANCESCHI, C","array([49.03089562, 56.1945707 ])"
1409,"TIMME, M","array([-46.41544207,  15.22375747])"
1410,"WOLF, F","array([-48.53111214,  15.94419794])"
1411,"MCINTOSH, A","array([ 21.19911503, -17.67957349])"
1412,"TORNOW, S","array([-42.69353089, -31.12849121])"
1413,"KOZMA, B","array([67.58183362, 38.37180466])"
1414,"HENGARTNER, N","array([67.92560304, 36.67831944])"
1415,"KORNISS, G","array([68.50871192, 39.77530786])"
1416,"TORRES, J","array([28.95831552, 22.40238063])"
1417,"GARRIDO, P","array([30.92658942, 22.83343403])"
1418,"TRAVERS, J","array([-46.10653064, -39.22167642])"
1419,"DEALBUQUERQUE, M","array([ 32.86852023, -66.56885483])"
1420,"TSODYKS, M","array([ 95.71180142, -49.61860729])"
1421,"KENET, T","array([ 96.69709187, -52.39829929])"
1422,"GRINVALD, A","array([ 94.78400957, -51.50751826])"
1423,"ARIELI, A","array([ 97.60900806, -50.4769915 ])"
1424,"TYLER, J","array([-26.95348525, -10.01347979])"
1425,"WILKINSON, D","array([-27.38748803, -12.18941946])"
1426,"TYSON, J","array([118.11547134,  -7.21258668])"
1427,"CSIKASZNAGE, A","array([115.75370977,  -7.04110202])"
1428,"NOVAK, B","array([117.08022158,  -5.09346892])"
1429,"UETZ, P","array([-77.25792751,  23.69273186])"
1430,"CAGNEY, G","array([-76.37644584,  21.87436511])"
1431,"MANSFIELD, T","array([-77.75240953,  22.89807177])"
1432,"JUDSON, R","array([-77.81557282,  21.09666886])"
1433,"KNIGHT, J","array([-78.62258172,  19.95704871])"
1434,"LOCKSHON, D","array([-77.57588372,  20.14519935])"
1435,"NARAYAN, V","array([-78.74037111,  22.99355683])"
1436,"SRINIVASAN, M","array([-78.46009772,  22.0061603 ])"
1437,"POCHART, P","array([-78.30757078,  23.99452137])"
1438,"QURESHIEMILI, A","array([-79.59686916,  20.29687023])"
1439,"LI, Y","array([-77.36177293,  21.9492575 ])"
1440,"GODWIN, B","array([-76.83515335,  20.85165308])"
1441,"CONOVER, D","array([-79.40154674,  23.79200116])"
1442,"KALBFLEISCH, T","array([-79.43155784,  22.46125137])"
1443,"VIJAYADAMODAR, G","array([-80.33335012,  21.05085415])"
1444,"YANG, M","array([-78.74270758,  20.92978314])"
1445,"JOHNSTON, M","array([-80.18185652,  23.13300865])"
1446,"FIELDS, S","array([-79.4819424 ,  21.49169342])"
1447,"ROTHBERG, J","array([-76.7592555 ,  22.77990126])"
1448,"GLOT, L","array([-74.38784778,  24.45099926])"
1449,"VALENTE, T","array([-59.7132602,  34.9356942])"
1450,"FOREMAN, R","array([-61.00151908,  36.94272908])"
1451,"CANCHO, R","array([19.01184748, 49.95598441])"
1452,"VANNUCCHI, F","array([ 5.54350285, 16.01999187])"
1453,"VANPUTTEN, M","array([-28.4708963 , 101.82511695])"
1454,"VANVREESWIJK, C","array([ 21.32739885, -58.70859157])"
1455,"VANWIGGEREN, G","array([-37.32934112,  33.15222625])"
1456,"VARELA, F","array([ 2.17287445, 75.9182636 ])"
1457,"LACHAUX, J","array([ 4.20288285, 75.98741587])"
1458,"RODRIGUEZ, E","array([ 4.15763461, 78.04035764])"
1459,"MARTINERIE, J","array([ 2.11472607, 77.94815423])"
1460,"FLAMMINI, A","array([ 6.53239883, 30.4006536 ])"
1461,"VAZQUEZ, F","array([55.80603381, 39.16145382])"
1462,"VENKATESH, S","array([ 57.13660774, -15.66026806])"
1463,"VERDASCA, J","array([82.07153405, 17.06449485])"
1464,"VEZOLI, J","array([ 22.37785826, -33.2068027 ])"
1465,"FALCHIER, A","array([ 20.69961309, -35.00937131])"
1466,"KNOBLAUCH, K","array([ 20.81701362, -32.95842511])"
1467,"KENNEDY, H","array([ 19.56975996, -34.07275042])"
1468,"CZIROK, A","array([41.12320806, 26.72561087])"
1469,"COHEN, I","array([43.4436895 , 26.56618712])"
1470,"SHOCHET, O","array([42.20698106, 27.78065399])"
1471,"VOGELSTEIN, B","array([104.14645662, -36.95664786])"
1472,"LANE, D","array([104.3623491 , -39.37815775])"
1473,"LEVINE, A","array([106.34157104, -37.96733166])"
1474,"VOGELS, W","array([-27.28531443,  26.25297921])"
1475,"VANRENESSE, R","array([-25.51197932,  24.68464032])"
1476,"BIRMAN, K","array([-27.84072614,  24.02450946])"
1477,"VOLCHENKOV, D","array([32.15381067, -2.15048523])"
1478,"VOLCHENKOVA, L","array([29.92076474, -2.89610036])"
1479,"VONNEUMANN, J","array([113.73944628,   3.19735458])"
1480,"MORGENSTERN, O","array([111.58663508,   4.06298593])"
1481,"VRAGOVIC, I","array([ 2.99124283, 37.70525675])"
1482,"LOUIS, E","array([ 4.51948405, 36.55826144])"
1483,"VUKADINOVIC, D","array([-54.90098701,  22.91099621])"
1484,"HUANG, P","array([-53.6747322 ,  24.95000089])"
1485,"ERLEBACH, T","array([-56.02614555,  24.95029274])"
1486,"VUKMIROVIC, O","array([ 5.55860211, -5.71778121])"
1487,"TILGHMAN, S","array([ 6.09661107, -8.045856  ])"
1488,"WALL, M","array([ 0.80701748, 84.40923172])"
1489,"HIAVACEK, W","array([ 0.52518998, 86.75767828])"
1490,"WALSH, T","array([81.55520529, 43.79509074])"
1491,"WANG, B","array([ 47.68839672, -54.71246212])"
1492,"ZHANG, F","array([ 49.24454101, -52.40233734])"
1493,"WANG, J","array([ 45.88445548, -57.84674692])"
1494,"DEWILDE, P","array([ 44.69754285, -60.32796495])"
1495,"WANG, S","array([13.67672711, 83.72123761])"
1496,"ZHANG, C","array([11.42353411, 82.83674217])"
1497,"XU, J","array([-41.18326081, -58.51231709])"
1498,"PATTISON, P","array([-23.97227968, -39.52492337])"
1499,"WAXMAN, B","array([ 45.34500786, 103.76069334])"
1500,"WEEKS, M","array([ -5.7348332 , 105.07559748])"
1501,"CLAIR, S","array([ -3.62667801, 105.3660912 ])"
1502,"RADDA, K","array([ -4.74643582, 106.65828136])"
1503,"SCHENSUL, J","array([ -6.37798618, 107.15969178])"
1504,"WELLMAN, B","array([ 40.18897924, -10.85846054])"
1505,"SALAFF, J","array([40.45280827, -8.30877117])"
1506,"DIMITROVA, D","array([37.57016258, -8.12328683])"
1507,"GARTON, L","array([37.5901746 , -9.93796404])"
1508,"GULIA, M","array([39.07311578, -7.2711249 ])"
1509,"HAYTHORNTHWAITE, C","array([39.10671902, -9.26457078])"
1510,"WEST, D","array([-0.09537961, 69.25819967])"
1511,"WEST, G","array([ 87.9885203 , -25.04329479])"
1512,"BROWN, J","array([ 88.66954018, -22.82400308])"
1513,"ENQUIST, B","array([ 86.37755443, -23.34210815])"
1514,"NAZER, N","array([ 41.60263054, -12.85184406])"
1515,"SOUTHGATE, E","array([94.44075967, 90.53306678])"
1516,"THOMPSON, J","array([96.06793839, 89.41885029])"
1517,"BRENNER, S","array([95.03217771, 87.75935829])"
1518,"WHITTINGTON, M","array([-21.0904327 ,  67.79474683])"
1519,"TRAUB, R","array([-19.41289877,  68.23143843])"
1520,"BUHL, E","array([-22.0441054 ,  69.32270643])"
1521,"WINFREE, A","array([-11.81589585,  85.19142451])"
1522,"WINFUL, H","array([-74.85279047, -14.75044412])"
1523,"RAHMAN, L","array([-74.15689641, -12.52284357])"
1524,"WOLFRAM, S","array([ -4.39325914, -17.72027974])"
1525,"WOOD, A","array([ 26.11753993, -45.09598089])"
1526,"WOLLENBERG, B","array([ 23.77194859, -45.0300474 ])"
1527,"WOOLF, M","array([81.09456142, 22.59674239])"
1528,"WORMALD, N","array([ 45.60016015, -66.6315014 ])"
1529,"WUCHTY, S","array([49.19362058, 36.83762977])"
1530,"WU, C","array([-56.74892649,  91.66231782])"
1531,"CHUA, L","array([-55.13392211,  89.8683402 ])"
1532,"WU, F","array([-23.61497759,  -8.78981629])"
1533,"RICE, D","array([ 79.76911087, -39.3972596 ])"
1534,"SALWINSKI, L","array([ 80.63663275, -36.53448981])"
1535,"BARON, M","array([ 81.07353553, -38.21658947])"
1536,"XULVIBRUNET, R","array([57.99989964, -2.4903816 ])"
1537,"YANG, K","array([84.36880127, 38.86569274])"
1538,"HUANG, L","array([86.2183717 , 40.34133626])"
1539,"YANG, L","array([86.51986603, 38.02073954])"
1540,"YAN, G","array([ 48.20179631, -57.07378717])"
1541,"ZHOU, T","array([ 45.2715341 , -55.36308909])"
1542,"FU, Z","array([ 46.64265859, -56.21060116])"
1543,"YAOUM, Y","array([-18.32322844, -52.0626181 ])"
1544,"LAUMANN, E","array([-20.42572883, -53.14819096])"
1545,"YEHIA, A","array([-29.66432421, -50.90585726])"
1546,"JEANDUPREUX, D","array([-28.57591808, -49.20246658])"
1547,"ALONSO, F","array([-27.91608042, -52.02289676])"
1548,"GUEVARA, M","array([-26.8435452 , -50.33127162])"
1549,"YEUNG, M","array([18.99863465, 60.99381931])"
1550,"YOOK, S","array([44.09495511, 36.81917643])"
1551,"TU, Y","array([42.73682005, 37.50196966])"
1552,"YOUNG, H","array([ 50.22105688, -47.05207364])"
1553,"SAGER, J","array([ 22.56945826, -30.28928408])"
1554,"CSARDI, G","array([ 24.23602921, -30.91114124])"
1555,"HAGA, P","array([ 23.80217276, -28.85618549])"
1556,"YUSONG, T","array([-0.30191558, 52.81951855])"
1557,"LINGJIANG, K","array([ 0.19015057, 50.99682776])"
1558,"MUREN, L","array([ 1.54954974, 53.20284811])"
1559,"ZACHARY, W","array([48.34877502,  2.50666901])"
1560,"ZAKS, M","array([-2.84714782,  7.69574904])"
1561,"PARK, E","array([-4.40225906,  7.09739574])"
1562,"ZASLAVER, A","array([73.57340297, 68.32589101])"
1563,"MAYO, A","array([72.05456961, 68.98394053])"
1564,"ROSENBERG, R","array([71.90847313, 70.48604987])"
1565,"BASHKIN, P","array([73.46846705, 71.09804202])"
1566,"SBERRO, H","array([74.92794815, 69.31318816])"
1567,"TSALYUK, M","array([73.45768301, 69.77154986])"
1568,"ZEKRI, N","array([ 28.54100561, 123.44750242])"
1569,"CLERC, J","array([ 29.42192523, 125.63270527])"
1570,"CERDEIRA, H","array([106.68822378,  74.56508119])"
1571,"CHEN, S","array([104.7541194 ,  72.04501137])"
1572,"BRAUN, T","array([105.44651007,  73.58178753])"
1573,"YAO, Y","array([107.30323504,  73.01747421])"
1574,"ZHAN, M","array([105.57885307,  77.53930756])"
1575,"ZHENG, D","array([73.16012126, -3.24306616])"
1576,"TRIMPER, S","array([72.05705781, -1.57144759])"
1577,"ZHENG, B","array([70.34644633, -2.69194282])"
1578,"HUI, P","array([71.49347026, -4.39339447])"
1579,"ZHENG, Z","array([100.20748852,  75.17622365])"
1580,"ZHONGBAO, K","array([-45.77506141, -50.06963952])"
1581,"CHANGSHUI, Z","array([-43.85118824, -48.75082746])"
1582,"ZHOU, H","array([ -4.30908461, -23.67006148])"
1583,"ZHOU, S","array([ 24.82970441, -79.94600646])"
1584,"MONDRAGON, R","array([ 22.66340253, -79.07325905])"
1585,"ZHU, H","array([-34.83439352,  75.44697085])"
1586,"HUANG, Z","array([-32.533428  ,  76.38185771])"
1587,"ZHU, J","array([-37.09165665,  74.70088573])"
1588,"ZIMMERMANN, M","array([  6.54040706, -18.70391784])"
